DATA_SOURCE,RECORD_ID,PRIMARY_NAME_FULL,NATIVE_NAME_FULL,SECONDARY_NAME_ORG,PRIMARY_NAME_ORG,PRIMARY_NAME_LAST,PRIMARY_NAME_FIRST,PRIMARY_NAME_MIDDLE,GENDER,DATE_OF_BIRTH,PASSPORT_NUMBER,PASSPORT_COUNTRY,DRIVERS_LICENSE_NUMBER,DRIVERS_LICENSE_STATE,SSN_NUMBER,NATIONAL_ID_NUMBER,NATIONAL_ID_COUNTRY,EMAIL_ADDRESS,ADDR_FULL,ADDR_LINE1,ADDR_CITY,ADDR_STATE,ADDR_POSTAL_CODE,ADDR_COUNTRY,ADDR_TYPE,PHONE_NUMBER,PHONE_TYPE,RECORD_TYPE,REL_ANCHOR_KEY,REL_POINTER_KEY,REL_POINTER_ROLE,AMOUNT,EMPLOYER_NAME,CATEGORY,STATUS,DATE
CUSTOMERS,1001,,,,,Smith,Robert,,,12/11/1978,,,,,,,,bsmith@work.com,,"123 Main Street, Las Vegas NV 89132",,,,,MAILING,702-919-1300,HOME,PERSON,,,,100,,,Active,1/2/18
CUSTOMERS,1002,,,,,Smith,Bob,,,11/12/1978,,,,,,,,,,1515 Adela Lane,Las Vegas,NV,89111,,HOME,702-919-1300,MOBILE,PERSON,,,,200,,,Inactive,3/10/17
CUSTOMERS,1003,,,,,Smith,Bob,J,,12/11/1978,,,,,,,,bsmith@work.com,,,,,,,,,,PERSON,,,,300,,,Inactive,4/9/16
CUSTOMERS,1004,,,,,Smith,B,,,11/12/1979,,,,,,,,bsmith@work.com,,1515 Adela Ln,Las Vegas,NV,89132,,HOME,,,PERSON,,,,400,,,Inactive,1/5/15
CUSTOMERS,1005,,,,,Smith,Robbie,,,,,,112233,NV,,,,,,123 E Main St,Henderson,NV,89132,,MAILING,,,PERSON,,,,500,,,Active,7/16/19
CUSTOMERS,1009,,,,,Kusha,Edward,,,3/1/1970,,,,,294-66-9999,,,Kusha123@hmail.com,,1304 Poppy Hills Dr,Blacklick,OH,43004,,HOME,,,PERSON,,,,600,,,Active,1/7/18
CUSTOMERS,1010,,,,,Kusha,Eddie,,,Mar 1 1970,,,,,,,,,,1304 Poppy Hills Dr,Blacklick,OHIO,,,HOME,,,PERSON,,,,700,,,Inactive,1/8/16
CUSTOMERS,1011,,,,,Knight,Ed,,,3/1/70,,,,,,,,,,1602 Brenville Pl,San Francisco,CA,94105,,HOME,,,PERSON,,,,800,,,Terminated,10/9/15
CUSTOMERS,1015,,,,,Kusha,Mary,,,10/27/76,,,,,293-90-9090,,,Kusha123@hmail.com,,1304 Poppy Hills Dr,Blacklick,OH,43004,,HOME,512-353-8633,HOME,PERSON,,,,900,,,Active,1/10/18
CUSTOMERS,1016,,,,,Kusha,Marie,,,10/27/76,,,,,,,,,,1304 Poppy Hills Dr,,,43004,,HOME,,,PERSON,,,,100,,,Active,1/11/18
CUSTOMERS,1017,,,,,Kusha,Mary,,,,,,,,293-90-9090,,,,,,,,,,,,,PERSON,,,,200,,,Active,1/12/18
CUSTOMERS,1018,,,,,Kusha,Marie,,,10/28/76,,,,,,,,,,,,,,,,512-353-8633,HOME,PERSON,,,,300,,,Active,1/13/18
CUSTOMERS,1019,,,,,Kusha,Mark,,,9/28/97,,,,,,,,Kusha123@hmail.com,,1304 Poppy Hills Dr,Blacklick,OH,43004,,HOME,,,PERSON,,,,400,,,Active,1/14/18
CUSTOMERS,1020,,,,,Kusha,Marsha,,,9/28/97,,,,,201-77-7719,,,Kusha123@hmail.com,,1304 Poppy Hills Dr,Blacklick,OH,43004,,HOME,,,PERSON,,,,500,,,Active,1/15/18
CUSTOMERS,1022,,,,,Antoun,Mohamed,,,1/7/80,,,,,,,,,,,,,,,,,,PERSON,,,,600,,,Active,1/16/18
CUSTOMERS,1023,,,,,Antoun,Muhammed,,,1/7/80,,,,,,,,,,,,,,,,,,PERSON,,,,700,,,Active,1/17/18
CUSTOMERS,1025,,,,,Anderson,Darla,,,1/7/80,,,,,,,,,,,,,,,,,,PERSON,,,,800,,,Active,1/18/18
CUSTOMERS,1026,,,,,Anderson,Darlene,,,1/7/80,,,,,,,,,,,,,,,,,,PERSON,,,,900,,,Active,1/19/18
CUSTOMERS,1028,,,,,Dobbins Jr,David,,,,,,,,,,,,,1450 N City Rd Suite 900,Arlington,VA,23208,,MAILING,,,PERSON,,,,100,,,Active,1/20/18
CUSTOMERS,1030,,,,,Garski,Luis,,,3/25/89,,,,,,,,,,445 Overpass Rd,San Ramon,CA,927230000,,MAILING,,,PERSON,,,,200,,,Active,1/21/18
CUSTOMERS,1031,,,,,Garsky,Louis,,,3/25/89,,,,,,,,,,445 Overpass Rd San Ramon,,,,,HOME,,,PERSON,,,,300,,,Active,1/22/18
CUSTOMERS,1032,,,,,Shaw,Daniella,,,20/8/1991,,,,,,,,,,,,,,,,202-321-3212,HOME,PERSON,,,,400,,,Active,1/23/18
CUSTOMERS,1033,,,,,Daniella,Shaw,,,8/20/91,,,,,,,,,,80 Delaware Ave SE Washington DC 40040,,,,,HOME,321-3212,HOME,PERSON,,,,500,,,Active,1/24/18
CUSTOMERS,1034,,,,,Medina Sentosa,Maria Luis,,,11/21/73,,,,,,,,Maria Sentosa<msentosa@fmail.com>,,"9304 W. 15th St La Blanca, FL 60527",,,,,HOME,,,PERSON,,,,600,,,Active,1/25/18
CUSTOMERS,1035,,,,,M Sentosa,Maria Luis,,,11/12/73,,,,,,,,,,"9304 W. 15th St La Blanca, FL 60527",,,,,HOME,,,PERSON,,,,700,,,Active,1/26/18
CUSTOMERS,1036,,,,,Sentosa,Maria Luis,,,11/12/73,,,,,,,,,,"9304 W. 15th St La Blanca, FL 60527",,,,,HOME,,,PERSON,,,,800,,,Active,1/27/18
CUSTOMERS,1039,,,,,Smith,John,,M,10/10/70,,,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,HOME,,,PERSON,,,,900,,,Active,1/28/18
CUSTOMERS,1040,,,,,Smith,John,,,3/15/90,,,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,HOME,,,PERSON,,,,100,,,Active,1/29/18
CUSTOMERS,1043,,,,,Smith,Patrick,,,10/10/70,10251111,US,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,HOME,,,PERSON,,,,200,,,Active,1/30/18
CUSTOMERS,1044,,,,,Smith,Patricia,,,3/15/90,10252222,US,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,HOME,,,PERSON,,,,300,,,Active,1/31/18
CUSTOMERS,1045,,,,,Smith,Pat,,,,10251111,USA,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,HOME,,,PERSON,,,,400,,,Active,1/2/18
CUSTOMERS,1046,,,,,Smith,Pat,,,,10252222,USA,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,HOME,,,PERSON,,,,500,,,Active,1/3/18
CUSTOMERS,1047,,,,,Thompson,Zara,,,,,,,,,,,sthomp45@fmail.com,,,,,,,,,,PERSON,,,,600,,,Active,1/4/18
CUSTOMERS,1048,,,,,Tompson,Sarah,,,,,,,,,,,sthomp45@fmail.com,,,,,,,,,,PERSON,,,,700,,,Active,1/5/18
CUSTOMERS,1049,,,,,Thompson,Sahra,,,,,,,,,,,sthomp45@fmail.com,,,,,,,,,,PERSON,,,,800,,,Active,1/6/18
CUSTOMERS,1050,,,,,Toulouse,Lee,,,2/1/85,483290175,USA,,,,,,,,,,,,,,,,PERSON,,,,900,,,Active,1/7/18
CUSTOMERS,1051,,,,,Toulouse,Leigh,,,1/2/85,483290175,US,,,,,,,,,,,,,,,,PERSON,,,,100,,,Active,1/8/18
CUSTOMERS,1052,,,,,Toulouse,Lea,,,,483290175,US,,,,,,,,,,,,,,,,PERSON,,,,200,,,Active,1/9/18
CUSTOMERS,1053,,,,,Smith,Beau,,,,72129291,CA,,,,,,,,"6371 E Foothill Dr, Orroville, CA ",,,,,HOME,,,PERSON,,,,300,,,Active,1/10/18
CUSTOMERS,1054,,,,,Smith,Magdalena,,,24-May-11,,,93939211,CA,,,,,,"6371 E Foothill Dr, Orroville, CA 95915",,,,,HOME,,,PERSON,,,,400,,,Active,1/11/18
CUSTOMERS,1055,,,,,,Beau,,,,72129291,CAN,,,,,,,,"6371 E Foothill Dr, 95915",,,,,HOME,,,PERSON,,,,500,,,Active,1/12/18
CUSTOMERS,1056,,,,,Jones,Magdalena,,,5/24/11,,,93939211,CA,,,,,,"6371 E Foothill Dr, Orroville, CA ",,,,,HOME,,,PERSON,,,,600,,,Active,1/13/18
CUSTOMERS,1057,,,,,Jones,Jay,,,,,,,,,,,jjones@jones.com,,,,,,,,,,PERSON,,,,700,,,Active,1/14/18
CUSTOMERS,1058,,,,,Jay,Jones,,,,,,,,,,,"""Jay Jones"" <jjones@fmail.com>",,,,,,,,,,PERSON,,,,800,,,Active,1/15/18
CUSTOMERS,1059,,,,,Roderick,Ray,,,,,,,,,,,,,,,,,,,971-421-8250,HOME,PERSON,,,,900,,,Active,1/16/18
CUSTOMERS,1060,,,,,Roderick,R,,,,,,,,,,,,,,,,,,,9714218250,HOME,PERSON,,,,100,,,Active,1/17/18
CUSTOMERS,1061,,,,,Andreason,,,,,,,,,,,,,,,,,,,,(807) 422-9031,MOBILE,PERSON,,,,200,,,Active,1/18/18
CUSTOMERS,1062,,,,,Andreason,,,,,,,,,,,,,,,,,,,,807-422-9031,,PERSON,,,,300,,,Active,1/19/18
CUSTOMERS,1063,,,,,Mooney,Susan,,,6/15/98,,,,,,,,,,,,,,,,,,PERSON,,,,400,,,Active,1/20/18
CUSTOMERS,1064,,,,,Mooney,Susanne,,,6/15/98,1231345345,US,,,,,,,,,,,,,,,,PERSON,,,,500,,,Active,1/21/18
CUSTOMERS,1065,,,,,Mooney,Susan,,,,1231345345,US,8923322,OR,,,,,,,,,,,,,,PERSON,,,,600,,,Active,1/22/18
CUSTOMERS,1066,,,,,Mooney,Susan,,,,,,8923322,OR,521-21-2123,,,,,,,,,,,,,PERSON,,,,700,,,Active,1/23/18
CUSTOMERS,1067,,,,,Moonie,Susan,,,,,,,,521212123,,,,,"638 Downey St, Salem, OR",,,,,HOME,,,PERSON,,,,800,,,Active,1/24/18
CUSTOMERS,1068,,,,,Moony,Susan,,,,,,,,,,,,,"Adventura Aparments 638 Downey St, Salem, OR",,,,,MAILING,,,PERSON,,,,900,,,Active,1/25/18
CUSTOMERS,1069,,王杰,,,,,,M,9/14/93,,,,,,832721,,,,12 Constitution Street,,,,,HOME,,,PERSON,,,,100,,,Active,1/26/18
CUSTOMERS,1070,,,,,Wang,Jie,,Male,9/14/93,,,,,,832721,Hong Kong,,,12 Constitution Street,,,,,HOME,,,PERSON,,,,200,,,Active,1/27/18
CUSTOMERS,1071,,王伟,,,,,,F,9/14/97,,,,,,7123833,China,,,"169 3rd Ave. Camden, NJ 08030",,,,,HOME,,,PERSON,,,,300,,,Active,1/28/18
CUSTOMERS,1072,,,,,Wang,Wei,,Female,9/14/97,,,,,,7123833,China,,,"169 3rd Ave. Camden, NJ 08030",,,,,HOME,,,PERSON,,,,400,,,Active,1/29/18
CUSTOMERS,1073,,张伟,,,,,,M,8/2/06,,,,,,,,,,"173 John Lane, Camden, NJ 08030",,,,,HOME,,,PERSON,,,,500,,,Active,1/30/18
